Mapping Rules AWS team 7
IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Product Code,Usage Type, [lineItem/Operation],lineItem/LineItemDescription
Сloud Services,Security & Identity,Amazon Macie,Data Security,Classification / Discovery,AmazonMacie,,,
Сloud Services,Analytics,Amazon MSK,Additional Costs,Tax,AmazonMSK,,,Tax%
Сloud Services,Analytics,Amazon MSK,Broker,Broker Hours,AmazonMSK,,RunBroker,
Сloud Services,Analytics,Amazon MSK,Storage,GP2 Storage,AmazonMSK,%Storage.GP2,,
Сloud Services,Analytics,Amazon MSK,Data Transfer,Bytes,AmazonMSK,%Bytes,,
Сloud Services,Artificial Intelligence,Amazon Polly,Speech Synthesis,Speech Characters,AmazonPolly,,,
Сloud Services,Artificial Intelligence,Amazon Personalize,Additional Costs,Tax,AmazonPersonalize,,,Tax%
Сloud Services,Artificial Intelligence,Amazon Personalize,Recommendations,TPS-hours,AmazonPersonalize,%TPS-hours,,
Сloud Services,Artificial Intelligence,Amazon Personalize,Model Training,Training Hour,AmazonPersonalize,%TrainingHour,,
Сloud Services,Artificial Intelligence,Amazon Personalize,Data,Data Ingestion,AmazonPersonalize,%DataIngestion,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Data Transfer,Data Transfer,AmazonS3,%DataTransfer%,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Data Transfer,AWS-to-AWS Bytes,AmazonS3,%AWS-%ytes,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Data Transfer,Data Transfer,AmazonS3,%DataXfer%,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Data Retrieval,Retrieval Bytes,AmazonS3,%Retrieval-Bytes%,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Replication,S3 Replication Time Control Bytes,AmazonS3,%S3RTC%-Bytes%,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Data Retrieval,Retrieval-ZIA,AmazonS3,%Retrieval-ZIA,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Data Transfer,CloudFront Bytes,AmazonS3,%CloudFront%Bytes,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Additional Costs,Tax,AmazonS3%,,,Tax%
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Data Retrieval,Retrieval - SIA,AmazonS3,%Retrieval-SIA%,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Storage,Timed Storage Byte-Hours,AmazonS3,%TimedStorage-ByteHrs,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Cold Storage,Glacier Byte-Hours,AmazonS3,%TimedStorage-GlacierByteHrs,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Cold Storage,Glacier Staging,AmazonS3,%TimedStorage-GlacierStaging,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Cold Storage,Deep Archive Byte-Hours,AmazonS3,%TimedStorage-GDA-ByteHrs,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Cold Storage,Deep Archive Staging,AmazonS3,%TimedStorage-GDA-Staging,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Intelligent-Tiering,INT-FA Byte-Hours,AmazonS3,%TimedStorage-INT-FA-ByteHrs,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Intelligent-Tiering,INT-IA Byte-Hours,AmazonS3,%TimedStorage-INT-IA-ByteHrs,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Storage,RRS Byte-Hours,AmazonS3,%TimedStorage-RRS-ByteHrs,,
Storage,Storage & Content Delivery,Amazon Simple Storage Service (S3),Cold Storage,Z-IA Storage,AmazonS3,%TimedStorage-ZIA%,,
