Azure lab team 7
IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Meter Category,Meter Sub-Category,Meter Name,Consumed Service,,
Cloud Services,Databases,Azure SQL Database,Compute Units,Database Units,SQL Database,,Database Units%,Database,,
Cloud Services,Databases,Azure SQL Database,Backup Storage,LTR Backup Storage,SQL Database,LTR Backup Storage,Data Stored,,,
Cloud Services,Databases,Azure SQL Managed Instance,Compute Units,Managed Instance Compute,SQL Database,Managed Instance%,,Microsoft.Sql,,
Cloud Services,Databases,Elastic Pool SQL,Compute Units,vCore,SQL Database,Single/Elastic Pool%,vCore,Microsoft.Sql,,
Cloud Services,Databases,Elastic Pool SQL,Perfomance Units,eDTUs,SQL Database,Elastic Pool%,eDTUs,Microsoft.Sql,,
Cloud Services,Databases,SQL Hyperscale,Compute Units,vCore,SQL Database,SingleDB Hyperscale%,vCore,Microsoft.Sql,,
Cloud Services,Databases,Single SQLDatabase,Perfomance Units,DTUs,SQL Database,Single%,%DTUs,Microsoft.Sql,,
Databases,Databases,Azure SQL Database,Reserved Compute,Compute Reservation,SQL Database,Compute Reservation,Usage,Microsoft.Sql,%SLO_: _MIBC%G5%,
,,,,,SQL Database,Compute Reservation,Usage,Microsoft.Sql,%SLO_: _MIGP%G5%,
,,,,,SQL Database,,,Microsoft.Sql,,
,,,,,SQL Data Warehouse,%Storage,,Microsoft.Sql,,
,,,,,Storage,,,Microsoft.Sql,,
,,,,,Storage,,,microsoft._ackup,,
,,,,,Storage,,,Microsoft.RecoveryServices,,
,,,,,Storage,,,%_torage%,,
,,,,,Storage,,,Microsoft.Compute,,
,,,,,Storage,,,Microsoft.MachineLearningServices,,
,,,,,Storage,,,Microsoft.Batch,,
,,,,,Virtual Machines Licenses,,,,,
,,,,,Virtual Machines,Red Hat Enterprise Linux%,Compute Hours,%Compute,,
,,,,,Virtual Machines,SQL Server%,Compute Hours,,,
,,,,,Virtual Machines,BizTalk Server,Compute Hours,%Compute,,
,,,,,Virtual Machines,BizTalk Server Standard%,Compute Hours,%Compute,,
,,,,,Virtual Machines,Java Development Environment%,Compute Hours,Unassigned,,
,,,,,Virtual Machines,Reservation%,Compute Hours,%Compute,,
,,,,,Visual Studio,Team Services,Users,,,
,,,,,Visual Studio,Build and Deployment,Private Agents,,,
,,,,,Visual Studio,Build and Deployment,Hosted Agents,,,
,,,,,Visual Studio,Application Insights,,microsoft.insights,,
,,,,,Websites,Web Sites,Free Web Sites,Microsoft.Web,,
,,,,,Websites,,%Hours,Microsoft.Web,,
,,,,,Websites,Web Sites,IP SSL,Microsoft.Web,,
,,,,,Azure Data Factory v2,,Cloud Data Movement,Microsoft.DataFactory,,
,,,,,Azure Data Factory v2,,Cloud Orchestration Activity Run,Microsoft.DataFactory,,
,,,,,Azure Data Factory v2,,Cloud Pipeline Activity External IR,Microsoft.DataFactory,,
,,,,,Azure Data Factory v2,,Cloud Pipeline Activity IR,Microsoft.DataFactory,,
,,,,,Azure Data Factory v2,,Monitoring Operations,Microsoft.DataFactory,,
,,,,,Azure Data Factory v2,,Read Write Operations,Microsoft.DataFactory,,
